stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
139,,Sarai,,28.47794,77.304932,,,0,,,0,
140,,NHPC Chowk,,28.462435,77.305252,,,0,,,0,
141,,Mewala Maharajpur,,28.4485,77.308098,,,0,,,0,
142,,Sector-28,,28.440586,77.305992,,,0,,,0,
143,,Badkal Mor,,28.422707,77.310234,,,0,,,0,
144,,Old Faridabad,,28.412172,77.311272,,,0,,,0,
145,,Neelam Chowk Ajronda,,28.400707,77.309105,,,0,,,0,
146,,Bata Chowk,,28.386362,77.298782,,,0,,,0,
147,,Escorts Mujesar,,28.370199,77.315002,,,0,,,0,
148,,Sikanderpur (Rapid Metro),,28.480833,77.094246,,,0,,,0,
149,,Phase 2 (Rapid Metro),,28.488371,77.092865,,,0,,,0,
150,,Belvedere Towers (Rapid Metro),,28.492065,77.088142,,,0,,,0,
151,,Cyber City (Rapid Metro),,28.498478,77.089088,,,0,,,0,
152,,Moulsari Avenue (Rapid Metro),,28.501572,77.094536,,,0,,,0,
153,,Phase 3 (Rapid Metro),,28.494329,77.093552,,,0,,,0,
154,,IGI Airport,,28.554869,77.087921,,,0,,,0,
155,,Delhi Aerocity,,28.548792,77.120743,,,0,,,0,
156,,Dhaula Kuan,,28.591776,77.161545,,,0,,,0,
157,,Shivaji Stadium,,28.629007,77.209213,,,0,,,0,
158,,Delhi Gate,,28.640488,77.240303,,,0,,,0,
159,,Jama Masjid,,28.650393,77.237556,,,0,,,0,
160,,Lal Quila,,28.657576,77.236595,,,0,,,0,
161,,Okhla Bird Sanctuary,,28.552816,77.321564,,,0,,,0,
162,,Kalindi Kunj,,28.542835,77.310173,,,0,,,0,
163,,Jasola Vihar Shaheen Bagh,,28.546005,77.296715,,,0,,,0,
164,,Okhla Vihar,,28.561255,77.291916,,,0,,,0,
165,,Jamia Millia Islamia,,28.562944,77.286209,,,0,,,0,
166,,Sukhdev Vihar,,28.559887,77.275116,,,0,,,0,
167,,Okhla NSIC,,28.554575,77.26487,,,0,,,0,
168,,Phase-I (Rapid Metro),,28.471981,77.094009,,,0,,,0,
169,,Sector 42-43 (Rapid Metro),,28.458475,77.09684,,,0,,,0,
170,,Sector 53-54 (Rapid Metro),,28.447533,77.100487,,,0,,,0,
171,,Sector 54 Chowk (Rapid Metro),,28.434212,77.104782,,,0,,,0,
172,,Sector 55-56 (Rapid Metro),,28.424587,77.105042,,,0,,,0,
173,,Majlis Park,,28.724157,77.182068,,,0,,,0,
174,,Shalimar Bagh,,28.70182,77.165184,,,0,,,0,
175,,Shakurpur,,28.685781,77.149651,,,0,,,0,
176,,Punjabi Bagh West,,28.672747,77.139183,,,0,,,0,
177,,ESI Basai Darapur,,28.658159,77.127319,,,0,,,0,
178,,Mayapuri,,28.637098,77.129738,,,0,,,0,
179,,Naraina Vihar,,28.624121,77.136482,,,0,,,0,
180,,Delhi Cantt.,,28.608641,77.140373,,,0,,,0,
181,,Durgabai Deshmukh South Campus,,28.589376,77.169518,,,0,,,0,
182,,Nehru Enclave,,28.545856,77.25116,,,0,,,0,
183,,Greater Kailash,,28.541836,77.238243,,,0,,,0,
184,,Chirag Delhi,,28.541229,77.229385,,,0,,,0,
185,,Panchsheel Park,,28.542339,77.220512,,,0,,,0,
186,,IIT,,28.547194,77.193832,,,0,,,0,
187,,RK Puram,,28.550486,77.184952,,,0,,,0,
188,,Munirka,,28.557821,77.174026,,,0,,,0,
189,,Vasant Vihar,,28.558378,77.160774,,,0,,,0,
190,,Shankar Vihar,,28.560787,77.140442,,,0,,,0,
191,,Terminal 1- IGI Airport,,28.565275,77.122391,,,0,,,0,
192,,Sadar Bazar Contonment,,28.577108,77.111305,,,0,,,0,
193,,Palam,,28.589067,77.082954,,,0,,,0,
194,,Dashrath Puri,,28.602333,77.08255,,,0,,,0,
195,,Dabri Mor - Janakpuri South,,28.615904,77.085258,,,0,,,0,
196,,Mundka Industrial Area (M.I.A),,28.68396,76.989822,,,0,,,0,
197,,Ghevra Metro station,,28.685289,76.993584,,,0,,,0,
198,,Tikri Kalan,,28.686899,76.977249,,,0,,,0,
199,,Tikri Border,,28.687876,76.963783,,,0,,,0,
200,,Pandit Shree Ram Sharma,,28.689213,76.951088,,,0,,,0,
201,,Bahadurgarh City,,28.690784,76.935265,,,0,,,0,
202,,Brigadier Hoshiyar Singh,,28.697428,76.919128,,,0,,,0,
203,,Sir Vishweshwaraiah Moti Bagh,,28.578529,77.175713,,,0,,,0,
204,,Bhikaji Cama Place,,28.570208,77.187866,,,0,,,0,
205,,Sarojini Nagar,,28.570208,77.187866,,,0,,,0,
206,,South Extension,,28.5686,77.219818,,,0,,,0,
